Field;x%;y%;w%;h%;align;fontMinPt;fontMaxPt;bold;singleLine
Hab1;0,030714286;0,627522727;0,937793651;0,113636364;center;6;10;false;0
Hab2;0,176396825;0,740022727;0,792111111;0,136806818;center;6;10;false;0
Prep;0,035269841;0,757102273;0,144888889;0,102272727;center;12;12;false;1
Credits;0,032285714;0,953011364;0,935412698;0,033670455;center;5;5;false;1
Lore;0,030714286;0,875693182;0,937793651;0,078875;center;7;9;false;0
Art;0,031492063;0,268068182;0,937015873;0,360590909;center;10;10;false;0
Health;0,031492063;0,177159091;0,188666667;0,090909091;center;12;12;true;1
Resistence;0,218587302;0,177159091;0,188666667;0,090909091;center;8;8;false;1
Atack;0,405666667;0,177159091;0,188666667;0,090909091;center;12;12;true;1
Damage;0,592746032;0,177159091;0,188666667;0,090909091;center;8;8;false;1
Bravery;0,779825397;0,177159091;0,188666667;0,090909091;center;12;12;true;1
Id;0,031492063;0,023215909;0,157492063;0,079329545;center;9;9;false;1
Name;0,187396825;0,023329545;0,625206349;0,079113636;center;11;11;true;0
Cost;0,811015873;0,023113636;0,157492063;0,079329545;center;11;11;true;1
Class;0,031492063;0,101318182;0,468507937;0,076977273;center;10;10;false;1
Faction;0,5;0,101318182;0,468507937;0,076977273;center;10;10;false;1
